CODE,THEME_A_CD,THEME_A_NM,THEME_B_CD,THEME_B_NM,THEME_C_CD,THEME_C_NM,THEME_D_CD,THEME_D_NM,GMAP_X,GMAP_Y
10001100010001,10001,대학교,10,강원,001,강릉원주대(강릉),0001,강원도 강릉시 지변동,,
10001100020002,10001,대학교,10,강원,002,강릉원주대(원주),0002,강원도 원주시 흥업면 ,,
10001100030003,10001,대학교,10,강원,003,강원대,0003,강원도 춘천시 효자2동,,
10001100040004,10001,대학교,10,강원,004,경동대,0004,강원도 고성군 토성면 봉포리,,
10001100050005,10001,대학교,10,강원,005,관동대,0005,강원도 강릉시 내곡동,,
10001100060006,10001,대학교,10,강원,006,상지대 ,0006,강원도 원주시  우산동,,
10001100070007,10001,대학교,10,강원,007,연세대(원주),0007,강원도 원주시 흥업면 매지리,,
10001100080008,10001,대학교,10,강원,008,춘천교육대,0008,강원도 춘천시 석사동,,
10001100090009,10001,대학교,10,강원,009,한라대,0009,강원도 원주시 흥업면 흥업리,,
10001100100010,10001,대학교,10,강원,010,한림대 ,0010,강원도 춘천시 옥천동,,
10001100110011,10001,대학교,10,강원,011,한중대,0011,강원도 동해시 지흥동,,
10001110120012,10001,대학교,11,경기,012,강남대,0012,경기도 용인시 기흥구 구갈동,,
10001110130013,10001,대학교,11,경기,013,경기대(수원),0013,경기도 수원시 영통구 이의동,,
10001110140014,10001,대학교,11,경기,014,경원대,0014,경기도 성남시 수정구 복정동,,
10001110150015,10001,대학교,11,경기,015,경인교육대(경기),0015,경기도 안양시 만안구 석수동,,
10001110160016,10001,대학교,11,경기,016,경희대(국제),0016,경기도 용인시 기흥구 서천동,,
10001110170017,10001,대학교,11,경기,017,단국대,0017,경기도 용인시 수지구 죽전동,,
10001110180018,10001,대학교,11,경기,018,대진대,0018,경기도 포천시 선단동,,
10001110190019,10001,대학교,11,경기,019,루터대,0019,경기도 용인시 기흥구 상갈동,,
10001110200020,10001,대학교,11,경기,020,명지대(자연),0020,경기도 용인시 처인구 남동,,
10001110210021,10001,대학교,11,경기,021,서울신학대 ,0021,경기도 부천시 소사구 소사본2동,,
10001110220022,10001,대학교,11,경기,022,서울장신대,0022,경기도 광주시 경안동,,
10001110230023,10001,대학교,11,경기,023,성결대,0023,경기도 안양시 만안구 안양8동,,
10001110240024,10001,대학교,11,경기,024,수원가톨릭대,0024,경기도 화성시 봉담읍 왕림리,,
10001110250025,10001,대학교,11,경기,025,수원대,0025,경기도 화성시 봉담읍 와우리,,
10001110260026,10001,대학교,11,경기,026,신경대,0026,경기도 화성시 남양동,,
10001110270027,10001,대학교,11,경기,027,아세아연합신대,0027,경기도 양평군 옥천면 아신리,,
10001110280028,10001,대학교,11,경기,028,아주대,0028,경기도 수원시 영통구 원천동,,
10001110290029,10001,대학교,11,경기,029,안양대,0029,경기도 안양시 만안구 안양5동,,
10001110300030,10001,대학교,11,경기,030,용인대,0030,경기도 용인시 처인구 삼가동,,
10001110310031,10001,대학교,11,경기,031,을지대(성남),0031,경기도 성남시 수정구 양지동,,
10001110320032,10001,대학교,11,경기,032,중앙대(안성),0032,경기도 안성시 대덕면 내리,,
10001110330033,10001,대학교,11,경기,033,차의과학대(분당),0033,경기도 성남시 분당구 야탑동,,
10001110340034,10001,대학교,11,경기,034,차의과학대(포천),0034,경기도 포천시 동교동,,
10001110350035,10001,대학교,11,경기,035,칼빈대,0035,경기도 용인시 기흥구 마북동,,
10001110360036,10001,대학교,11,경기,036,평택대,0036,경기도 평택시 용이동,,
10001110370037,10001,대학교,11,경기,037,한경대,0037,경기도 안성시 석정동,,
10001110380038,10001,대학교,11,경기,038,한국산업기술대,0038,경기도 시흥시 정왕동,,
10001110390039,10001,대학교,11,경기,039,한국외국어대(용인),0039,경기도 용인시 처인구 모현면 왕산리,,
10001110400040,10001,대학교,11,경기,040,한국항공대,0040,경기도 고양시 덕양구 화전동,,
10001110410041,10001,대학교,11,경기,041,한북대,0041,경기도 동두천시 상패동,,
10001110420042,10001,대학교,11,경기,042,한세대,0042,경기도 군포시 당정동,,
10001110430043,10001,대학교,11,경기,043,한신대 ,0043,경기도 오산시 양산동,,
10001110440044,10001,대학교,11,경기,044,한양대(ERICA),0044,경기도 안산시 상록구 사3동,,
10001110450045,10001,대학교,11,경기,045,협성대,0045,경기도 화성시 봉담읍 상리,,
10001120460046,10001,대학교,12,경남,046,가야대(김해),0046,경상남도 김해시 삼계동,,
10001120470047,10001,대학교,12,경남,047,경남과학기술대,0047,경상남도 진주시 칠암동,,
10001120480048,10001,대학교,12,경남,048,경남대,0048,경상남도 창원시 마산합포구 월영동,,
10001120490049,10001,대학교,12,경남,049,경상대,0049,경상남도 진주시 가좌동,,
10001120500050,10001,대학교,12,경남,050,부산장신대,0050,경상남도 김해시 구산동,,
10001120510051,10001,대학교,12,경남,051,영산대(양산),0051,경상남도 양산시 주남동,,
10001120520052,10001,대학교,12,경남,052,인제대,0052,경상남도 김해시 어방동,,
10001120530053,10001,대학교,12,경남,053,진주교육대,0053,경상남도 진주시 신안동,,
10001120540054,10001,대학교,12,경남,054,창원대,0054,경상남도 창원시 의창구 사림동,,
10001120550055,10001,대학교,12,경남,055,한국국제대,0055,경상남도 진주시 문산읍 상문리,,
10001130560056,10001,대학교,13,경북,056,가야대(고령),0056,경상북도 고령군 고령읍 지산리,,
10001130570057,10001,대학교,13,경북,057,경운대,0057,경상북도 구미시 산동면 인덕리,,
10001130580058,10001,대학교,13,경북,058,경일대,0058,경상북도 경산시 하양읍 부호리,,
10001130590059,10001,대학교,13,경북,059,경주대,0059,경상북도 경주시 효현동,,
10001130600060,10001,대학교,13,경북,060,금오공과대,0060,경상북도 구미시 양호동,,
10001130610061,10001,대학교,13,경북,061,김천대,0061,경상북도 김천시 삼락동,,
10001130620062,10001,대학교,13,경북,062,대구가톨릭대,0062,경상북도 경산시 하양읍 금락1리,,
10001130630063,10001,대학교,13,경북,063,대구대,0063,경상북도 경산시 진량읍 내리,,
10001130640064,10001,대학교,13,경북,064,대구예술대,0064,경상북도 칠곡군 가산면 다부리,,
10001130650065,10001,대학교,13,경북,065,대구외국어대,0065,경상북도 경산시 남천면 협석리,,
10001130660066,10001,대학교,13,경북,066,대구한의대,0066,경상북도 경산시 유곡동,,
10001130670067,10001,대학교,13,경북,067,대신대,0067,경상북도 경산시 백천동,,
10001130680068,10001,대학교,13,경북,068,동국대(경주),0068,경상북도 경주시 석장동,,
10001130690069,10001,대학교,13,경북,069,동양대,0069,경상북도 영주시 풍기읍 교촌동,,
10001130700070,10001,대학교,13,경북,070,안동대,0070,경상북도 안동시 송천동,,
10001130710071,10001,대학교,13,경북,071,영남대,0071,경상북도 경산시 대동,,
10001130720072,10001,대학교,13,경북,072,영남신학대,0072,경상북도 경산시 진량읍 봉회리,,
10001130730073,10001,대학교,13,경북,073,위덕대,0073,경상북도 경주시 강동면 유금리,,
10001130740074,10001,대학교,13,경북,074,포항공과대,0074,경상북도 포항시 남구 효자동,,
10001130750075,10001,대학교,13,경북,075,한동대 ,0075,경상북도 포항시 북구 흥해읍 남송리,,
10001140760076,10001,대학교,14,광주,076,광신대,0076,광주광역시 북구 본촌동,,
10001140770077,10001,대학교,14,광주,077,광주과학기술원,0077,광주광역시 북구 오룡동,,
10001140780078,10001,대학교,14,광주,078,광주교육대,0078,광주광역시 북구 풍향동,,
10001140790079,10001,대학교,14,광주,079,광주대,0079,광주광역시 남구 진월동,,
10001140800080,10001,대학교,14,광주,080,광주여대,0080,광주광역시 광산구 산정동,,
10001140810081,10001,대학교,14,광주,081,남부대,0081,광주광역시 광산구 월계동,,
10001140820082,10001,대학교,14,광주,082,전남대,0082,광주광역시 북구 용봉동,,
10001140830083,10001,대학교,14,광주,083,조선대,0083,광주광역시 동구 서석동,,
10001140840084,10001,대학교,14,광주,084,호남대,0084,광주광역시 광산구 서봉동,,
10001140850085,10001,대학교,14,광주,085,호남신학대,0085,광주광역시 남구 양림동,,
10001150860086,10001,대학교,15,대구,086,경북대,0086,대구광역시 북구 산격동,,
10001150870087,10001,대학교,15,대구,087,경북외국어대,0087,대구광역시 북구 동호동,,
10001150880088,10001,대학교,15,대구,088,계명대,0088,대구광역시 달서구 신당동,,
10001150890089,10001,대학교,15,대구,089,대구교육대,0089,대구광역시 남구 대명2동,,
10001150900090,10001,대학교,15,대구,090,대구한의대(수성),0090,대구광역시 수성구 상대동,,
10001160910091,10001,대학교,16,대전,091,대전대,0091,대전광역시 동구 용운동,,
10001160920092,10001,대학교,16,대전,092,목원대,0092,대전광역시 서구 도안동,,
10001160930093,10001,대학교,16,대전,093,배재대,0093,대전광역시 서구 도마2동,,
10001160940094,10001,대학교,16,대전,094,우송대,0094,대전광역시 동구 자양동,,
10001160950095,10001,대학교,16,대전,095,을지대(대전),0095,대전광역시 중구 용두동,,
10001160960096,10001,대학교,16,대전,096,충남대,0096,대전광역시 유성구 궁동,,
10001160970097,10001,대학교,16,대전,097,침례신학대,0097,대전광역시 유성구 하기동,,
10001160980098,10001,대학교,16,대전,098,한국과학기술원,0098,대전광역시 유성구 구성동,,
10001170990099,10001,대학교,17,부산,099,경성대,0099,부산광역시 남구 대연3동,,
10001171000100,10001,대학교,17,부산,100,고신대,0100,부산광역시 영도구 동삼1동,,
10001171010101,10001,대학교,17,부산,101,동명대,0101,부산광역시 남구 용당동,,
10001171020102,10001,대학교,17,부산,102,동서대,0102,부산광역시 사상구 주례2동,,
10001171030103,10001,대학교,17,부산,103,동아대,0103,부산광역시 사하구 하단2동,,
10001171040104,10001,대학교,17,부산,104,동의대,0104,부산광역시 부산진구 가야동,,
10001171050105,10001,대학교,17,부산,105,부경대,0105,부산광역시 남구 대연3동,,
10001171060106,10001,대학교,17,부산,106,부산가톨릭대,0106,부산광역시 금정구 부곡3동,,
10001171070107,10001,대학교,17,부산,107,부산교육대,0107,부산광역시 연제구 거제1동,,
10001171080108,10001,대학교,17,부산,108,부산대,0108,부산광역시 금정구 장전동,,
10001171090109,10001,대학교,17,부산,109,부산외국어대,0109,부산광역시 남구 우암동,,
10001171100110,10001,대학교,17,부산,110,신라대,0110,부산광역시 사상구 괘법동,,
