CODE,THEME_A_CD,THEME_A_NM,THEME_B_CD,THEME_B_NM,THEME_C_CD,THEME_C_NM,THEME_D_CD,THEME_D_NM,GMAP_X,GMAP_Y
10002100010247,10002,지하철역,10,수도권,001,1호선,0247,신창(순천향대),126.951106816671,36.769489185844897
10002100010248,10002,지하철역,10,수도권,001,1호선,0248,쌍용(나사렛대),127.121572530688,36.793842465352498
10002100010252,10002,지하철역,10,수도권,001,1호선,0252,역곡(카톨릭대),126.812722225832,37.485674975110101
10002100020289,10002,지하철역,10,수도권,002,2호선,0289,강변(동서울터미널),127.09475555319,37.535642980837501
10002100020291,10002,지하철역,10,수도권,002,2호선,0291,교대(법원·검찰청),127.014650313769,37.493960811460703
10002100020292,10002,지하철역,10,수도권,002,2호선,0292,구로디지털단지(원광디지털대),126.901711036244,37.485264677676298
10002100020293,10002,지하철역,10,수도권,002,2호선,0293,구의(광진구청),127.08616763697999,37.537289255789503
10002100020297,10002,지하철역,10,수도권,002,2호선,0297,대림(구로구청),126.894847355533,37.493601941224902
10002100020302,10002,지하철역,10,수도권,002,2호선,0302,방배(백석예술대),126.997510195855,37.481699152321099
10002100020304,10002,지하철역,10,수도권,002,2호선,0304,사당(대항병원),126.981750530688,37.4770143546125
10002100020305,10002,지하철역,10,수도권,002,2호선,0305,삼성(무역센터),127.06334330971799,37.508994140808298
10002100020307,10002,지하철역,10,수도권,002,2호선,0307,서울대입구(관악구청),126.952796958089,37.481429687898398
10002100020317,10002,지하철역,10,수도권,002,2호선,0317,신림(양지병원),126.929738838481,37.484337175129198
10002100020322,10002,지하철역,10,수도권,002,2호선,0322,아현(추계예술대),126.955518028974,37.557474823681602
10002100020326,10002,지하철역,10,수도권,002,2호선,0326,왕십리(성동구청),127.037762,37.561191000000001
10002100020328,10002,지하철역,10,수도권,002,2호선,0328,용두(동대문구청),127.03811834603199,37.574044673060797
10002100020331,10002,지하철역,10,수도권,002,2호선,0331,을지로입구(IBK기업은행),126.981781527961,37.566088384926402
10002100020333,10002,지하철역,10,수도권,002,2호선,0333,잠실(송파구청),127.100157225453,37.513492141307601
10002100020335,10002,지하철역,10,수도권,002,2호선,0335,충정로(경기대입구),126.964540571966,37.559696778282699
10002100020337,10002,지하철역,10,수도권,002,2호선,0337,합정(홀트아동복지회),126.914140850558,37.549908363201503
10002100030340,10002,지하철역,10,수도권,003,3호선,0340,경복궁(정부서울청사),126.973519589982,37.575979562058897
10002100030343,10002,지하철역,10,수도권,003,3호선,0343,교대(법원·검찰청),127.01381559412199,37.493800822249497
10002100030346,10002,지하철역,10,수도권,003,3호선,0346,남부터미널(예술의전당),127.016482518427,37.485035581713603
10002100030366,10002,지하철역,10,수도권,003,3호선,0366,양재(서초구청),127.034156868903,37.484689640701703
10002100040395,10002,지하철역,10,수도권,004,4호선,0395,동작(현충원),126.980214775693,37.503227596380597
10002100040397,10002,지하철역,10,수도권,004,4호선,0397,미아(서울사이버대학),127.025981145247,37.626806616452598
10002100040408,10002,지하철역,10,수도권,004,4호선,0408,성신여대입구(돈암),127.016467813977,37.592693422626297
10002100040410,10002,지하철역,10,수도권,004,4호선,0410,수유(강북구청),127.025377474895,37.637798677942897
10002100040411,10002,지하철역,10,수도권,004,4호선,0411,숙대입구(갈월),126.972159854205,37.544660834519902
10002100040417,10002,지하철역,10,수도권,004,4호선,0417,이촌(국립중앙박물관),126.974340511031,37.522453664230298
10002100040423,10002,지하철역,10,수도권,004,4호선,0423,총신대입구(이수),126.981721386091,37.485315983722998
10002100040427,10002,지하철역,10,수도권,004,4호선,0427,한성대입구(삼선교),127.005869346377,37.588394788735201
10002100040429,10002,지하철역,10,수도권,004,4호선,0429,회현(남대문시장),126.978121099299,37.558566257863902
10002100050430,10002,지하철역,10,수도권,005,5호선,0430,강동(강동성심병원),127.13231954226301,37.536039827969901
10002100050434,10002,지하철역,10,수도권,005,5호선,0434,고덕(강동경희대병원),127.154045433516,37.555006659518199
10002100050436,10002,지하철역,10,수도권,005,5호선,0436,광나루(장신대),127.103499,37.545212252842298
10002100050437,10002,지하철역,10,수도권,005,5호선,0437,광화문(세종문화회관),126.976056778971,37.571777930902002
10002100050438,10002,지하철역,10,수도권,005,5호선,0438,군자(능동),127.079446,37.557305999999997
10002100050439,10002,지하철역,10,수도권,005,5호선,0439,굽은다리(강동구민회관앞),127.143096304845,37.546154549331497
10002100050446,10002,지하철역,10,수도권,005,5호선,0446,마곡(홈앤쇼핑),126.82511944603699,37.560397362349498
10002100050456,10002,지하철역,10,수도권,005,5호선,0456,서대문(강북삼성병원),126.966401650785,37.5657027929497
10002100050460,10002,지하철역,10,수도권,005,5호선,0460,신정(은행정),126.856199342366,37.525045153599599
10002100050461,10002,지하철역,10,수도권,005,5호선,0461,아차산(어린이대공원후문),127.089619,37.552176000000003
10002100050467,10002,지하철역,10,수도권,005,5호선,0467,영등포시장(한림대한강성심병원),126.90510009054999,37.522730984471302
10002100050469,10002,지하철역,10,수도권,005,5호선,0469,오목교(목동운동장앞),126.875363672953,37.524620284110298
10002100050470,10002,지하철역,10,수도권,005,5호선,0470,올림픽공원(한국체대),127.130914571879,37.516543859749703
10002100050471,10002,지하철역,10,수도권,005,5호선,0471,왕십리(성동구청),127.037346,37.561979000000001
10002100050475,10002,지하철역,10,수도권,005,5호선,0475,종로3가(탑골공원),126.990056871962,37.572627048725501
10002100050476,10002,지하철역,10,수도권,005,5호선,0476,천호(풍납토성),127.12354937462101,37.538504725706403
10002100050478,10002,지하철역,10,수도권,005,5호선,0478,충정로(경기대입구),126.962913702113,37.560339016741402
10002100050483,10002,지하철역,10,수도권,005,5호선,0483,하남시청(덕풍·신장),127.21414369999999,37.5393264
10002100060481,10002,지하철역,10,수도권,006,6호선,0481,고려대(종암),127.036530877912,37.590382655941802
10002100060483,10002,지하철역,10,수도권,006,6호선,0483,광흥창(서강),126.931995763957,37.547588459870397
10002100060485,10002,지하철역,10,수도권,006,6호선,0485,녹사평(용산구청),126.98697616488001,37.534828351620298
10002100060486,10002,지하철역,10,수도권,006,6호선,0486,대흥(서강대앞),126.942442604178,37.5477671385256
10002100060494,10002,지하철역,10,수도권,006,6호선,0494,봉화산(서울의료원),127.09064002309501,37.617834175607499
10002100060498,10002,지하철역,10,수도권,006,6호선,0498,상월곡(한국과학기술연구원),127.04900960955599,37.6066860994219
10002100060499,10002,지하철역,10,수도권,006,6호선,0499,새절(신사),126.913784669534,37.5911625255034
10002100060503,10002,지하철역,10,수도권,006,6호선,0503,안암(고대병원앞),127.029205967545,37.586340979320902
10002100060507,10002,지하철역,10,수도권,006,6호선,0507,월곡(동덕여대),127.041351223592,37.601650636529399
10002100060508,10002,지하철역,10,수도권,006,6호선,0508,월드컵경기장(성산),126.899176957111,37.569098227151699
10002100060511,10002,지하철역,10,수도권,006,6호선,0511,증산(명지대앞),126.909929975118,37.584149933634102
10002100060516,10002,지하철역,10,수도권,006,6호선,0516,합정(홀트아동복지회),126.914276823693,37.549757097261804
10002100060517,10002,지하철역,10,수도권,006,6호선,0517,화랑대(서울여대입구),127.084721064622,37.620199065473798
10002100070519,10002,지하철역,10,수도권,007,7호선,0519,가산디지털단지(마리오아울렛),126.882687300078,37.480460959960197
10002100070523,10002,지하철역,10,수도권,007,7호선,0523,공릉(서울과학기술대),127.073036786975,37.625666662363898
10002100070525,10002,지하철역,10,수도권,007,7호선,0525,군자(능동),127.079467583107,37.557227402071398
10002100070531,10002,지하철역,10,수도권,007,7호선,0531,대림(구로구청),126.894942546607,37.493457867220599
10002100070536,10002,지하철역,10,수도권,007,7호선,0536,면목(서일대입구),127.087498609232,37.588842881316097
10002100070539,10002,지하철역,10,수도권,007,7호선,0539,사가정(녹색병원),127.088572177269,37.581248588253999
10002100070541,10002,지하철역,10,수도권,007,7호선,0541,상봉(시외버스터미널),127.08566772090001,37.5958178202998
10002100070543,10002,지하철역,10,수도권,007,7호선,0543,숭실대입구(살피재),126.953782488904,37.496210102292999
10002100070546,10002,지하철역,10,수도권,007,7호선,0546,어린이대공원(세종대),127.07470522707,37.548022325819197
10002100070547,10002,지하철역,10,수도권,007,7호선,0547,온수(성공회대입구),126.823303318377,37.492218247758501
10002100070551,10002,지하철역,10,수도권,007,7호선,0551,중계(한국성서대),127.064321600654,37.645089498727501
10002100070556,10002,지하철역,10,수도권,007,7호선,0556,청담(한국금거래소),127.05191775044,37.519133978185799
10002100070559,10002,지하철역,10,수도권,007,7호선,0559,하계(을지대을지병원),127.06832045786101,37.636463149795098
10002100080563,10002,지하철역,10,수도권,008,8호선,0563,남한산성입구(성남법원·검찰청),127.160088413921,37.452148036853998
10002100080564,10002,지하철역,10,수도권,008,8호선,0564,단대오거리(신구대학교),127.156841880671,37.4452506426016
10002100080566,10002,지하철역,10,수도권,008,8호선,0566,몽촌토성(평화의문),127.112592000029,37.517780656473498
